34.65.73.16,34.65.73.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.74.0,34.65.74.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.74.240,34.65.76.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.76.32,34.65.76.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.77.0,34.65.78.79,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.78.80,34.65.78.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.78.208,34.65.79.239,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.79.240,34.65.80.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.81.0,34.65.81.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.82.0,34.65.82.255,NA,US,California,"Mountain View",37.4225,-122.084
34.65.83.0,34.65.83.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.84.0,34.65.84.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.84.208,34.65.86.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.86.16,34.65.86.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.87.0,34.65.88.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.88.16,34.65.88.159,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.88.160,34.65.90.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.90.16,34.65.90.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.91.0,34.65.92.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.92.16,34.65.92.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.93.0,34.65.94.79,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.94.80,34.65.94.95,NA,US,California,"Mountain View",37.4225,-122.084
34.65.94.96,34.65.96.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.96.32,34.65.96.159,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.96.160,34.65.98.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.98.32,34.65.98.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.98.240,34.65.100.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.100.16,34.65.100.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.101.0,34.65.102.111,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.102.112,34.65.102.159,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.102.160,34.65.103.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.104.0,34.65.104.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.104.224,34.65.105.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.106.0,34.65.106.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.107.0,34.65.108.79,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.108.80,34.65.108.127,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.108.128,34.65.110.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.110.16,34.65.111.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.111.16,34.65.112.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.112.16,34.65.112.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.112.208,34.65.114.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.114.32,34.65.114.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.115.0,34.65.116.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.116.48,34.65.116.175,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.116.176,34.65.118.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.118.16,34.65.119.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.119.16,34.65.119.223,NA,US,Virginia,Ashburn,39.0438,-77.4874
