122.0.0.0,122.0.7.255,AS,TH,Bangkok,"Ratchathewi (Khwaeng Thung Phaya Thai)",13.7631,100.526
122.0.8.0,122.0.15.255,AS,KR,Gyeonggi-do,"Seongnam-si (Buljeong-ro)",37.3638,127.122
122.0.16.0,122.0.31.255,AS,MY,Selangor,"Puchong Batu Dua Belas",3.03222,101.617
122.0.32.0,122.0.63.255,AS,KR,Jeollabuk-do,"Iksan (Iksan-daero)",35.9582,126.951
122.0.64.0,122.0.127.255,AS,CN,Beijing,Beijing,39.9042,116.407
122.0.128.0,122.0.255.255,AS,CN,Shanghai,"Xinzhuang (Minhang Qu)",31.0704,121.518
122.1.0.0,122.1.6.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.7.0,122.1.7.127,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.7.128,122.1.9.127,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.9.128,122.1.9.175,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.9.176,122.1.10.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.11.0,122.1.11.127,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.11.128,122.1.13.207,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.13.208,122.1.14.63,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.14.64,122.1.16.191,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.16.192,122.1.16.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.17.0,122.1.18.191,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.18.192,122.1.18.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.19.0,122.1.21.31,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.21.32,122.1.21.63,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.21.64,122.1.23.47,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.23.48,122.1.23.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.24.0,122.1.25.7,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.25.8,122.1.26.15,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.26.16,122.1.27.23,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.27.24,122.1.27.247,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.27.248,122.1.29.175,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.29.176,122.1.29.223,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.29.224,122.1.31.31,AS,JP,Ōsaka,Osaka,34.6937,135.502
122.1.31.32,122.1.31.191,AS,JP,Tokyo,Chiyoda,35.6906,139.77
122.1.31.192,122.1.32.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
