36.2.120.0,36.2.120.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.2.121.0,36.2.121.255,AS,JP,Saitama,Warabi,35.8219,139.685
36.2.122.0,36.2.123.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.2.124.0,36.2.124.255,AS,JP,Saitama,Asaka,35.8047,139.602
36.2.125.0,36.2.126.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.2.127.0,36.2.127.255,AS,JP,Saitama,Kawaguchi,35.8052,139.711
36.2.128.0,36.2.128.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.2.129.0,36.2.130.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.131.0,36.2.131.255,AS,JP,Hyōgo,Amagasaki,34.7167,135.417
36.2.132.0,36.2.132.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.133.0,36.2.133.255,AS,JP,Ōsaka,"Osaka (Dōjima)",34.6964,135.498
36.2.134.0,36.2.134.255,AS,JP,Ōsaka,Toyonaka,34.7824,135.469
36.2.135.0,36.2.136.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.137.0,36.2.137.255,AS,JP,Aichi,Nagoya,35.1815,136.906
36.2.138.0,36.2.138.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.139.0,36.2.139.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.140.0,36.2.140.255,AS,JP,Aichi,Nagoya,35.1814,136.906
36.2.141.0,36.2.141.255,AS,JP,Aichi,Aisai,35.1635,136.732
36.2.142.0,36.2.142.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.143.0,36.2.143.255,AS,JP,Tokyo,Musashino,35.7061,139.559
36.2.144.0,36.2.144.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.145.0,36.2.146.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.147.0,36.2.147.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.148.0,36.2.148.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.149.0,36.2.150.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.151.0,36.2.151.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.2.152.0,36.2.152.255,AS,JP,Saitama,Kawaguchi,35.8052,139.711
36.2.153.0,36.2.153.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.154.0,36.2.154.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.155.0,36.2.155.255,AS,JP,Hyōgo,Amagasaki,34.7167,135.417
36.2.156.0,36.2.156.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.157.0,36.2.157.255,AS,JP,Okinawa,Ishigaki,24.3448,124.157
36.2.158.0,36.2.160.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.161.0,36.2.161.255,AS,JP,Kanagawa,Ōiso,35.3156,139.316
36.2.162.0,36.2.165.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.166.0,36.2.167.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.2.168.0,36.2.168.255,AS,JP,Kanagawa,Fujisawa,35.3493,139.477
36.2.169.0,36.2.169.255,AS,JP,Tokyo,Machida,35.5403,139.451
36.2.170.0,36.2.170.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.171.0,36.2.171.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.2.172.0,36.2.173.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.174.0,36.2.175.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.176.0,36.2.176.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
36.2.177.0,36.2.177.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.2.178.0,36.2.178.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.179.0,36.2.179.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
36.2.180.0,36.2.181.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.182.0,36.2.183.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.184.0,36.2.184.255,AS,JP,Tokyo,Komae,35.6342,139.575
36.2.185.0,36.2.185.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.2.186.0,36.2.186.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.187.0,36.2.187.255,AS,JP,Kanagawa,Atsugi,35.4427,139.369
36.2.188.0,36.2.189.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.190.0,36.2.191.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.192.0,36.2.192.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.193.0,36.2.194.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.195.0,36.2.196.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.197.0,36.2.197.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.198.0,36.2.199.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.200.0,36.2.200.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.201.0,36.2.201.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.202.0,36.2.202.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.203.0,36.2.204.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.205.0,36.2.205.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.206.0,36.2.206.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.207.0,36.2.207.255,AS,JP,Tokyo,Hino,35.6731,139.4
36.2.208.0,36.2.208.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.209.0,36.2.209.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.210.0,36.2.210.255,AS,JP,Yamagata,Kaminoyama,38.1539,140.274
36.2.211.0,36.2.211.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.212.0,36.2.212.255,AS,JP,Mie,Kameyama,34.85,136.45
36.2.213.0,36.2.213.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.214.0,36.2.214.255,AS,JP,Mie,Kuwana,35.0519,136.67
36.2.215.0,36.2.216.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.217.0,36.2.217.255,AS,JP,Gifu,Kani,35.4044,137.056
36.2.218.0,36.2.218.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.219.0,36.2.219.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
36.2.220.0,36.2.220.255,AS,JP,Ōsaka,Sakai,34.5833,135.467
36.2.221.0,36.2.221.255,AS,JP,Hokkaido,Kushiro,42.975,144.375
36.2.222.0,36.2.222.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.223.0,36.2.223.255,AS,JP,Niigata,Niigata,37.8864,139.006
36.2.224.0,36.2.225.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.226.0,36.2.226.255,AS,JP,Niigata,Myoko,37.015,138.273
36.2.227.0,36.2.227.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.228.0,36.2.228.255,AS,JP,Yamagata,Yamagata,38.2333,140.367
36.2.229.0,36.2.230.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.231.0,36.2.231.255,AS,JP,Yamagata,Yamagata,38.2333,140.367
36.2.232.0,36.2.235.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.236.0,36.2.237.255,AS,JP,Tokyo,Machida,35.5403,139.451
36.2.238.0,36.2.238.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.2.239.0,36.2.239.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.2.240.0,36.2.240.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.241.0,36.2.241.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.242.0,36.2.243.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.244.0,36.2.244.255,AS,JP,Aichi,Nagoya,35.1814,136.906
36.2.245.0,36.2.245.255,AS,JP,Aichi,Anjo,34.9583,137.081
36.2.246.0,36.2.246.255,AS,JP,Aichi,Nagoya,35.1814,136.906
36.2.247.0,36.2.255.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.0.0,36.3.3.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.4.0,36.3.4.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.5.0,36.3.5.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.6.0,36.3.6.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.7.0,36.3.7.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.8.0,36.3.23.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.24.0,36.3.26.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.27.0,36.3.27.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.28.0,36.3.30.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.31.0,36.3.34.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.35.0,36.3.35.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.36.0,36.3.47.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.48.0,36.3.55.255,AS,JP,Tokyo,Chūō,35.6804,139.772
36.3.56.0,36.3.56.255,AS,JP,Kanagawa,Yokohama,35.4333,139.65
36.3.57.0,36.3.57.255,AS,JP,Kanagawa,Fujisawa,35.3493,139.477
36.3.58.0,36.3.59.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.60.0,36.3.60.255,AS,JP,Kanagawa,Yamato,35.4728,139.451
36.3.61.0,36.3.62.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.3.63.0,36.3.63.255,AS,JP,Kanagawa,Yokohama,35.4437,139.638
36.3.64.0,36.3.71.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
