111.0.0.0,111.3.255.255,AS,CN,Zhejiang,Hangzhou,30.2741,120.155
111.4.0.0,111.4.255.255,AS,CN,Guangdong,Guangzhou,23.1291,113.264
111.5.0.0,111.7.255.255,AS,CN,Henan,Zhengzhou,34.7466,113.625
111.8.0.0,111.8.54.255,AS,CN,Hunan,Changsha,28.2282,112.939
111.8.55.0,111.8.55.255,AS,CN,Hunan,Pingtang,28.0847,112.915
111.8.56.0,111.8.71.255,AS,CN,Hunan,Changsha,28.2282,112.939
111.8.72.0,111.8.72.255,AS,CN,Hunan,Xiangtan,27.85,112.9
111.8.73.0,111.8.105.255,AS,CN,Hunan,Changsha,28.2282,112.939
111.8.106.0,111.8.107.255,AS,CN,Hunan,Hengyang,26.8932,112.572
111.8.108.0,111.8.255.255,AS,CN,Hunan,Changsha,28.2282,112.939
111.9.0.0,111.10.255.255,AS,CN,Guangdong,Guangzhou,23.1291,113.264
111.11.0.0,111.11.127.255,AS,CN,Hebei,Shijiazhuang,38.0423,114.515
111.11.128.0,111.13.255.255,AS,CN,Guangdong,Guangzhou,23.1291,113.264
111.14.0.0,111.14.47.255,AS,CN,Shandong,Jinan,36.651,117.12
111.14.48.0,111.14.49.255,AS,CN,Shandong,Guangrao,37.0529,118.399
111.14.50.0,111.14.50.255,AS,CN,Shandong,Jinan,36.651,117.12
111.14.51.0,111.14.51.255,AS,CN,Shandong,Guangrao,37.0529,118.399
111.14.52.0,111.16.239.255,AS,CN,Shandong,Jinan,36.651,117.12
111.16.240.0,111.16.240.255,AS,CN,Shandong,Guangrao,37.0529,118.399
111.16.241.0,111.17.134.255,AS,CN,Shandong,Jinan,36.651,117.12
111.17.135.0,111.17.135.255,AS,CN,Shandong,Tengzhou,35.0836,117.191
111.17.136.0,111.17.137.255,AS,CN,Shandong,Jinan,36.651,117.12
111.17.138.0,111.17.138.255,AS,CN,Shandong,Tengzhou,35.0836,117.191
111.17.139.0,111.17.255.255,AS,CN,Shandong,Jinan,36.651,117.12
111.18.0.0,111.18.69.255,AS,CN,Guangdong,Guangzhou,23.1291,113.264
111.18.70.0,111.18.70.255,AS,CN,Shaanxi,Yuhuazhai,34.2269,108.856
111.18.71.0,111.18.76.255,AS,CN,Guangdong,Guangzhou,23.1291,113.264
