179.1.13.128,179.1.69.255,SA,CO,Antioquia,"Medellín (Los Balsos No.1)",6.187,-75.5596
179.1.70.0,179.1.70.251,SA,CO,Santander,"Bucaramanga (Comuna 12 Cabecera del Llano)",7.10767,-73.1096
179.1.70.252,179.1.71.255,SA,CO,Antioquia,"Medellín (Los Balsos No.1)",6.187,-75.5596
179.1.72.0,179.1.72.255,OC,AU,"New South Wales",Manly,-33.795,151.281
179.1.73.0,179.1.77.7,SA,CO,Antioquia,"Medellín (Los Balsos No.1)",6.187,-75.5596
179.1.77.8,179.1.77.255,SA,CO,"Valle del Cauca","Santiago de Cali",3.45165,-76.532
179.1.78.0,179.1.79.255,SA,CO,Antioquia,"Medellín (Los Balsos No.1)",6.187,-75.5596
179.1.80.0,179.1.80.255,SA,CO,Cundinamarca,Funza,4.71638,-74.212
179.1.81.0,179.1.81.255,SA,CO,Putumayo,Colón,1.19034,-76.9737
179.1.82.0,179.1.82.191,SA,CO,Nariño,Pasto,1.20588,-77.2858
179.1.82.192,179.1.90.255,SA,CO,Antioquia,"Medellín (Los Balsos No.1)",6.187,-75.5596
179.1.91.0,179.1.91.255,SA,CO,Antioquia,Apartadó,7.87861,-76.6201
179.1.92.0,179.1.255.255,SA,CO,Antioquia,"Medellín (Los Balsos No.1)",6.187,-75.5596
179.2.0.0,179.4.182.255,SA,CL,"Santiago Metropolitan",Huechuraba,-33.3826,-70.6216
179.4.183.0,179.4.183.255,SA,CL,Biobío,"Los Ángeles",-37.4697,-72.3537
179.4.184.0,179.4.255.255,SA,CL,"Santiago Metropolitan",Huechuraba,-33.3826,-70.6216
179.5.0.0,179.5.46.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.47.0,179.5.47.255,NA,SV,Sonsonate,Sonzacate,13.7342,-89.7147
179.5.48.0,179.5.49.255,NA,SV,"San Salvador",Mejicanos,13.724,-89.188
179.5.50.0,179.5.50.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.51.0,179.5.52.255,NA,SV,"San Salvador",Mejicanos,13.724,-89.188
179.5.53.0,179.5.53.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.54.0,179.5.54.255,NA,SV,"San Salvador",Mejicanos,13.724,-89.188
179.5.55.0,179.5.55.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.56.0,179.5.56.255,NA,SV,"San Salvador",Mejicanos,13.724,-89.188
179.5.57.0,179.5.100.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.101.0,179.5.101.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.102.0,179.5.124.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.125.0,179.5.125.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.126.0,179.5.126.255,NA,SV,"San Salvador","San Salvador",13.6894,-89.1872
179.5.127.0,179.5.127.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.128.0,179.5.128.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.129.0,179.5.130.191,NA,SV,"Santa Ana",Chalchuapa,13.9867,-89.6811
179.5.130.192,179.5.132.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.133.0,179.5.134.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.135.0,179.5.135.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.136.0,179.5.184.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.185.0,179.5.187.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.188.0,179.5.190.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.191.0,179.5.191.255,NA,SV,"San Salvador",Ayutuxtepeque,13.7354,-89.2022
179.5.192.0,179.5.197.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.198.0,179.5.199.255,NA,SV,"San Salvador",Apopa,13.8072,-89.1792
179.5.200.0,179.5.215.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.216.0,179.5.217.255,NA,SV,"San Salvador",Ayutuxtepeque,13.7354,-89.2022
179.5.218.0,179.5.218.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.219.0,179.5.221.255,NA,SV,"San Salvador",Ayutuxtepeque,13.7354,-89.2022
179.5.222.0,179.5.222.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.223.0,179.5.223.255,NA,SV,"San Salvador",Ayutuxtepeque,13.7354,-89.2022
179.5.224.0,179.5.229.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.230.0,179.5.230.255,NA,SV,"San Salvador",Ayutuxtepeque,13.7354,-89.2022
179.5.231.0,179.5.238.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.5.239.0,179.5.239.255,NA,SV,Sonsonate,"San Antonio del Monte",13.7164,-89.7383
179.5.240.0,179.5.255.255,NA,SV,"San Salvador","San Salvador",13.6965,-89.2193
179.6.0.0,179.6.33.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.34.0,179.6.35.255,SA,PE,Cusco,Cusco,-13.5226,-71.9673
179.6.36.0,179.6.47.255,SA,PE,"Lima region","Independencia (San Martin De Porres)",-12.0228,-77.0736
179.6.48.0,179.6.49.255,SA,PE,Piura,Piura,-5.19449,-80.6328
