134.3.24.0,134.3.26.255,EU,DE,Baden-Württemberg,"Heidelberg (Rohrbach-Süd)",49.3653,8.68614
134.3.27.0,134.3.27.255,EU,DE,Baden-Württemberg,Neuffen,48.5546,9.3755
134.3.28.0,134.3.59.255,EU,DE,Baden-Württemberg,"Heidelberg (Rohrbach-Süd)",49.3653,8.68614
134.3.60.0,134.3.60.255,EU,DE,Baden-Württemberg,Winnenden,48.8756,9.39819
134.3.61.0,134.3.64.255,EU,DE,Baden-Württemberg,"Heidelberg (Rohrbach-Süd)",49.3653,8.68614
134.3.65.0,134.3.65.255,EU,DE,Baden-Württemberg,Ottenbach,48.7365,9.74844
134.3.66.0,134.3.78.255,EU,DE,Baden-Württemberg,"Heidelberg (Rohrbach-Süd)",49.3653,8.68614
134.3.79.0,134.3.79.255,EU,DE,Baden-Württemberg,Weikersheim,49.4787,9.89977
134.3.80.0,134.3.104.255,EU,DE,Baden-Württemberg,"Heidelberg (Rohrbach-Süd)",49.3653,8.68614
134.3.105.0,134.3.105.255,EU,DE,Baden-Württemberg,Karlsruhe,49.0094,8.40444
134.3.106.0,134.3.127.255,EU,DE,Baden-Württemberg,"Heidelberg (Rohrbach-Süd)",49.3653,8.68614
134.3.128.0,134.3.128.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.129.0,134.3.129.255,EU,DE,Baden-Württemberg,Karlsruhe,49.0094,8.40444
134.3.130.0,134.3.134.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.135.0,134.3.135.255,EU,DE,Baden-Württemberg,Böblingen,48.6821,9.01171
134.3.136.0,134.3.136.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.137.0,134.3.137.255,EU,DE,Hesse,Lampertheim,49.5979,8.4725
134.3.138.0,134.3.169.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.170.0,134.3.170.255,EU,DE,Baden-Württemberg,Baindt,47.85,9.66667
134.3.171.0,134.3.171.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.172.0,134.3.172.255,EU,DE,Baden-Württemberg,Laufenburg,47.5651,8.06045
134.3.173.0,134.3.173.63,EU,DE,Baden-Württemberg,Steinen,47.6445,7.73914
134.3.173.64,134.3.207.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.208.0,134.3.208.255,EU,DE,Baden-Württemberg,Horrenberg,49.2804,8.78087
134.3.209.0,134.3.209.255,EU,DE,Baden-Württemberg,Wiesloch,49.295,8.69846
134.3.210.0,134.3.210.255,EU,DE,Baden-Württemberg,Sandhausen,49.3428,8.65917
134.3.211.0,134.3.211.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.212.0,134.3.212.255,EU,DE,Baden-Württemberg,Mannheim,49.4891,8.46694
134.3.213.0,134.3.216.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.217.0,134.3.217.255,EU,DE,Baden-Württemberg,Stimpfach,49.0614,10.0927
134.3.218.0,134.3.218.255,EU,DE,Baden-Württemberg,Igersheim,49.4944,9.81694
134.3.219.0,134.3.219.255,EU,DE,Baden-Württemberg,Stimpfach,49.0614,10.0927
134.3.220.0,134.3.229.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.230.0,134.3.230.255,EU,DE,Baden-Württemberg,Steinenbronn,48.6667,9.11667
134.3.231.0,134.3.246.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.3.247.0,134.3.247.255,EU,DE,Baden-Württemberg,Mannheim,49.4891,8.46694
134.3.248.0,134.3.255.255,EU,DE,Baden-Württemberg,Stuttgart,48.7758,9.18293
134.4.0.0,134.4.255.255,NA,US,California,Pasadena,34.1478,-118.145
134.5.0.0,134.5.255.255,NA,US,Colorado,Denver,39.8336,-105.004
134.6.0.0,134.6.33.255,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.6.34.0,134.6.35.127,NA,US,Washington,"Redmond (Overlake)",47.6393,-122.128
134.6.35.128,134.6.78.63,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.6.78.64,134.6.78.127,NA,US,Washington,"Redmond (Overlake)",47.6393,-122.128
134.6.78.128,134.6.127.255,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.6.128.0,134.6.131.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
134.6.132.0,134.6.135.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.6.136.0,134.6.143.255,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.6.144.0,134.6.147.255,NA,US,Colorado,Denver,39.7376,-104.985
134.6.148.0,134.6.202.223,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.6.202.224,134.6.202.255,NA,US,Massachusetts,"Boston (Roxbury)",42.3283,-71.0703
134.6.203.0,134.6.253.255,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.6.254.0,134.6.254.255,NA,US,"New York","New York",40.7056,-73.978
134.6.255.0,134.6.255.255,NA,US,Massachusetts,Quincy,42.2786,-71.0346
134.7.0.0,134.7.255.255,OC,AU,"Western Australia",Bentley,-32.003,115.89
134.8.0.0,134.8.0.255,EU,GB,England,London,51.5074,-0.127758
134.8.1.0,134.8.1.255,AS,HK,"Wan Chai",Wanchai,22.2643,114.188
134.8.2.0,134.8.2.255,NA,US,Illinois,Chicago,41.8781,-87.6298
134.8.3.0,134.8.255.255,EU,GB,England,London,51.5074,-0.127758
134.9.0.0,134.9.247.255,NA,US,California,Livermore,37.6819,-121.768
134.9.248.0,134.9.255.255,NA,US,California,Sacramento,38.5816,-121.494
134.10.0.0,134.10.255.255,NA,US,Oregon,"Portland (Southeast Portland)",45.481,-122.63
134.11.0.0,134.11.23.255,NA,US,Arizona,"Sierra Vista (Fort Huachuca)",31.5552,-110.35
134.11.24.0,134.11.24.255,NA,US,Illinois,Chicago,41.8781,-87.6298
